"Date"	"Injury"	"Firstname"	"Lastname"	"City"	"TeamName"	"games.injured"	"MissedGamesListing"	"InjuryType"	"SeasonEnding"	"Index"	"delete.duplicate"	"injstart.month"	"injstart.day"	"injstart.year"	"injend.month"	"injend.day"	"injend.year"	"DaysMissed"	"GeneralInjury"	"ReducedInjuryTypes"
"4072"	Dec 27, 2016	Missed 15 games (sprained mcl).	SEAN	COUTURIER	PHILADELPHIA	FLYERS	15	TRUE	sprained mcl	FALSE	1289	0	11	23	2016	12	27	2016	34	knee	leg
"13271"	Mar 28, 2008	Missed 4 games (groin).	VALTTERI	FILPPULA	PHILADELPHIA	FLYERS	4	TRUE	groin	FALSE	1290	0	3	19	2008	3	28	2008	9	groin	lower body
"12709"	Mar 20, 2009	Missed 2 games (back spasms).	VALTTERI	FILPPULA	PHILADELPHIA	FLYERS	2	TRUE	back spasms	FALSE	1291	0	3	15	2009	3	20	2009	5	back	mid body
"3950"	Dec 26, 2009	Missed 26 games (broken right wrist).	VALTTERI	FILPPULA	PHILADELPHIA	FLYERS	26	TRUE	broken right wrist	FALSE	1292	0	10	30	2009	12	26	2009	57	wrist	arm/hand
"5489"	Feb 14, 2010	Missed 1 game (groin).	VALTTERI	FILPPULA	PHILADELPHIA	FLYERS	1	TRUE	groin	FALSE	1293	0	2	13	2010	2	14	2010	1	groin	lower body
"7631"	Jan 10, 2011	Missed 2 games (groin).	VALTTERI	FILPPULA	PHILADELPHIA	FLYERS	2	TRUE	groin	FALSE	1294	0	1	07	2011	1	10	2011	3	groin	lower body
"8995"	Jan 26, 2011	Missed 1 game (flu).	VALTTERI	FILPPULA	PHILADELPHIA	FLYERS	1	TRUE	flu	FALSE	1295	0	1	22	2011	1	26	2011	4	cold/virus	illness
"6451"	Feb 26, 2011	Missed 8 games (left knee injury).	VALTTERI	FILPPULA	PHILADELPHIA	FLYERS	8	TRUE	left knee injury	FALSE	1296	0	2	09	2011	2	26	2011	17	knee	leg
"2697"	Dec 08, 2011	Missed 1 game (shin injury).	VALTTERI	FILPPULA	PHILADELPHIA	FLYERS	1	TRUE	shin injury	FALSE	1297	0	12	06	2011	12	08	2011	2	leg	leg
"12228"	Mar 13, 2013	Missed 7 games (left shoulder injury).	VALTTERI	FILPPULA	PHILADELPHIA	FLYERS	7	TRUE	left shoulder injury	FALSE	1298	0	2	27	2013	3	13	2013	14	shoulder	upper body
"4733"	Feb 04, 2014	Missed 1 game (lower body injury).	VALTTERI	FILPPULA	PHILADELPHIA	FLYERS	1	TRUE	lower body injury	FALSE	1299	0	1	31	2014	2	04	2014	4	lower body	lower body
"11566"	Mar 04, 2014	Missed 4 games (fractured ankle).	VALTTERI	FILPPULA	PHILADELPHIA	FLYERS	4	TRUE	fractured ankle	FALSE	1300	0	2	07	2014	3	04	2014	25	ankle	foot
"1453"	Apr 16, 2014	Missed the last 2 regular season games (lower body injury).	VALTTERI	FILPPULA	PHILADELPHIA	FLYERS	2	TRUE	lower body injury	TRUE	1301	0	4	11	2014	4	16	2014	5	lower body	lower body
"13326"	Mar 28, 2016	Missed 6 games (upper body injury).	VALTTERI	FILPPULA	PHILADELPHIA	FLYERS	6	TRUE	upper body injury	FALSE	1302	0	3	15	2016	3	28	2016	13	upper body	upper body
"14814"	Nov 10, 2016	Missed 1 game (lower body injury).	VALTTERI	FILPPULA	PHILADELPHIA	FLYERS	1	TRUE	lower body injury	FALSE	1303	0	11	07	2016	11	10	2016	3	lower body	lower body
"8082"	Jan 15, 2009	Missed 5 games (concussion).	CLAUDE	GIROUX	PHILADELPHIA	FLYERS	5	TRUE	concussion	FALSE	1304	0	1	04	2009	1	15	2009	11	concussion	concussion
"3717"	Dec 21, 2011	Missed 4 games (concussion).	CLAUDE	GIROUX	PHILADELPHIA	FLYERS	4	TRUE	concussion	FALSE	1305	0	12	12	2011	12	21	2011	9	concussion	concussion
"1035"	Apr 11, 2012	Missed the last regular season game (upper body injury).	CLAUDE	GIROUX	PHILADELPHIA	FLYERS	1	TRUE	upper body injury	TRUE	1306	0	4	07	2012	4	11	2012	4	upper body	upper body
"7300"	Jan 06, 2015	Missed 1 game (left leg injury).	CLAUDE	GIROUX	PHILADELPHIA	FLYERS	1	TRUE	left leg injury	FALSE	1307	0	1	03	2015	1	06	2015	3	leg	leg
"6694"	Feb 27, 2016	Missed 3 games (upper body injury).	CLAUDE	GIROUX	PHILADELPHIA	FLYERS	3	TRUE	upper body injury	FALSE	1308	0	2	20	2016	2	27	2016	7	upper body	upper body
"8202"	Jan 16, 2016	Missed 2 games (lower body injury).	SHAYNE	GOSTISBEHERE	PHILADELPHIA	FLYERS	2	TRUE	lower body injury	FALSE	1309	0	1	08	2016	1	16	2016	8	lower body	lower body
"3110"	Dec 13, 2016	Missed 1 game (hand injury).	SHAYNE	GOSTISBEHERE	PHILADELPHIA	FLYERS	1	TRUE	hand injury	FALSE	1310	0	12	11	2016	12	13	2016	2	hand	arm/hand
"14407"	Nov 04, 2017	Missed 3 games (upper body injury).	SHAYNE	GOSTISBEHERE	PHILADELPHIA	FLYERS	3	TRUE	upper body injury	FALSE	1311	0	10	29	2017	11	04	2017	6	upper body	upper body
"8231"	Jan 16, 2018	Missed 1 game (illness).	SHAYNE	GOSTISBEHERE	PHILADELPHIA	FLYERS	1	TRUE	illness	FALSE	1312	0	1	12	2018	1	16	2018	4	cold/virus	illness
"2574"	Dec 06, 2013	Missed 5 games (upper body injury).	RADKO	GUDAS	PHILADELPHIA	FLYERS	5	TRUE	upper body injury	FALSE	1313	0	11	25	2013	12	06	2013	11	upper body	upper body
"12234"	Mar 13, 2014	Missed 4 games (lower body injury).	RADKO	GUDAS	PHILADELPHIA	FLYERS	4	TRUE	lower body injury	FALSE	1314	0	3	04	2014	3	13	2014	9	lower body	lower body
"1722"	Apr 22, 2014	Missed the last playoff game (lower body injury).	RADKO	GUDAS	PHILADELPHIA	FLYERS	0	TRUE	lower body injury	TRUE	1315	0	4	22	2014	4	22	2014	0	lower body	lower body
"18093"	Oct 24, 2014	Missed 4 games (lower body injury).	RADKO	GUDAS	PHILADELPHIA	FLYERS	4	TRUE	lower body injury	FALSE	1316	0	10	14	2014	10	24	2014	10	lower body	lower body
"3593"	Dec 19, 2014	Missed 3 games (illness).	RADKO	GUDAS	PHILADELPHIA	FLYERS	3	TRUE	illness	FALSE	1317	0	12	13	2014	12	19	2014	6	cold/virus	illness
"1091"	Apr 11, 2015	Missed the last 45 regular season games (lower body injury).	RADKO	GUDAS	PHILADELPHIA	FLYERS	45	TRUE	lower body injury	TRUE	1318	0	12	31	2014	4	11	2015	101	lower body	lower body
"2656"	Dec 07, 2016	Missed 3 games (illness).	RADKO	GUDAS	PHILADELPHIA	FLYERS	3	TRUE	illness	FALSE	1319	0	12	03	2016	12	07	2016	4	cold/virus	illness
"6933"	Jan 01, 2017	Missed 1 game (upper body injury).	RADKO	GUDAS	PHILADELPHIA	FLYERS	1	TRUE	upper body injury	FALSE	1320	0	12	30	2016	1	01	2017	2	upper body	upper body
"890"	Apr 09, 2017	Missed the last 4 regular season games (upper body injury).	RADKO	GUDAS	PHILADELPHIA	FLYERS	4	TRUE	upper body injury	TRUE	1321	0	4	02	2017	4	09	2017	7	upper body	upper body
"14753"	Nov 09, 2017	Missed 2 games (upper body injury).	RADKO	GUDAS	PHILADELPHIA	FLYERS	2	TRUE	upper body injury	FALSE	1322	0	11	02	2017	11	09	2017	7	upper body	upper body
"11599"	Mar 04, 2017	Missed 9 games (sprained ankle).	TRAVIS	KONECNY	PHILADELPHIA	FLYERS	9	TRUE	sprained ankle	FALSE	1323	0	2	07	2017	3	04	2017	25	ankle	foot
"6304"	Feb 24, 2018	Missed 1 game (foot injury).	TRAVIS	KONECNY	PHILADELPHIA	FLYERS	1	TRUE	foot injury	FALSE	1324	0	2	22	2018	2	24	2018	2	foot	foot
"7301"	Jan 06, 2015	Missed 1 game (undisclosed).	SCOTT	LAUGHTON	PHILADELPHIA	FLYERS	1	TRUE	undisclosed	FALSE	1325	0	1	03	2015	1	06	2015	3	undisclosed	undisclosed
"4828"	Feb 05, 2015	Missed 7 games (upper body injury).	SCOTT	LAUGHTON	PHILADELPHIA	FLYERS	7	TRUE	upper body injury	FALSE	1326	0	1	15	2015	2	05	2015	21	upper body	upper body
"1814"	Apr 24, 2016	Missed the last 2 playoff games (upper body injury).	SCOTT	LAUGHTON	PHILADELPHIA	FLYERS	2	TRUE	upper body injury	TRUE	1327	0	4	21	2016	4	24	2016	3	upper body	upper body
"14737"	Nov 09, 2016	Missed 14 games (lower body injury).	SCOTT	LAUGHTON	PHILADELPHIA	FLYERS	14	TRUE	lower body injury	FALSE	1328	0	10	11	2016	11	09	2016	29	lower body	lower body
"18016"	Oct 23, 2014	Missed 1 game (flu).	JORI	LEHTERA	PHILADELPHIA	FLYERS	1	TRUE	flu	FALSE	1329	0	10	19	2014	10	23	2014	4	cold/virus	illness
"5202"	Feb 10, 2015	Missed 6 games (concussion).	JORI	LEHTERA	PHILADELPHIA	FLYERS	6	TRUE	concussion	FALSE	1330	0	1	30	2015	2	10	2015	11	concussion	concussion
"1869"	Apr 26, 2015	Missed the last playoff game (lower body injury).	JORI	LEHTERA	PHILADELPHIA	FLYERS	0	TRUE	lower body injury	TRUE	1331	0	4	24	2015	4	26	2015	2	lower body	lower body
"11762"	Mar 06, 2016	Missed 3 games (upper body injury).	JORI	LEHTERA	PHILADELPHIA	FLYERS	3	TRUE	upper body injury	FALSE	1332	0	2	27	2016	3	06	2016	8	upper body	upper body
"18317"	Oct 27, 2016	Missed 4 games (upper body injury).	JORI	LEHTERA	PHILADELPHIA	FLYERS	4	TRUE	upper body injury	FALSE	1333	0	10	18	2016	10	27	2016	9	upper body	upper body
"344"	Apr 04, 2017	Missed 11 games (upper body injury).	JORI	LEHTERA	PHILADELPHIA	FLYERS	11	TRUE	upper body injury	FALSE	1334	0	3	13	2017	4	04	2017	22	upper body	upper body
"862"	Apr 09, 2017	Missed 1 game (illness).	JORI	LEHTERA	PHILADELPHIA	FLYERS	1	TRUE	illness	FALSE	1335	0	4	08	2017	4	09	2017	1	cold/virus	illness
"3519"	Dec 18, 2017	Missed 1 game (illness).	JORI	LEHTERA	PHILADELPHIA	FLYERS	1	TRUE	illness	FALSE	1336	0	12	16	2017	12	18	2017	2	cold/virus	illness
"18251"	Oct 26, 2017	Missed 2 games (upper body injury).	TAYLOR	LEIER	PHILADELPHIA	FLYERS	2	TRUE	upper body injury	FALSE	1337	0	10	21	2017	10	26	2017	5	upper body	upper body
"3899"	Dec 23, 2017	Missed 2 games (upper body injury).	TAYLOR	LEIER	PHILADELPHIA	FLYERS	2	TRUE	upper body injury	FALSE	1338	0	12	20	2017	12	23	2017	3	upper body	upper body
"13438"	Mar 30, 2010	Missed 12 games (broken foot).	ANDREW	MACDONALD	PHILADELPHIA	FLYERS	12	TRUE	broken foot	FALSE	1339	0	3	04	2010	3	30	2010	26	foot	foot
"2268"	Dec 02, 2010	Missed 15 games (fractured hand).	ANDREW	MACDONALD	PHILADELPHIA	FLYERS	15	TRUE	fractured hand	FALSE	1340	0	10	22	2010	12	02	2010	41	hand	arm/hand
"933"	Apr 10, 2011	Missed the last 7 regular season games (hip injury).	ANDREW	MACDONALD	PHILADELPHIA	FLYERS	7	TRUE	hip injury	TRUE	1341	0	3	26	2011	4	10	2011	15	hip	lower body
"3395"	Dec 17, 2011	Missed 7 games (right leg injury).	ANDREW	MACDONALD	PHILADELPHIA	FLYERS	7	TRUE	right leg injury	FALSE	1342	0	12	02	2011	12	17	2011	15	leg	leg
"13829"	May 11, 2013	Missed the last 2 playoff games (broken hand).	ANDREW	MACDONALD	PHILADELPHIA	FLYERS	2	TRUE	broken hand	TRUE	1343	0	5	09	2013	5	11	2013	2	hand	arm/hand
"15558"	Nov 20, 2014	Missed 10 games (lower body injury).	ANDREW	MACDONALD	PHILADELPHIA	FLYERS	10	TRUE	lower body injury	FALSE	1344	0	10	24	2014	11	20	2014	27	lower body	lower body
"1094"	Apr 11, 2015	Missed the last 7 regular season games (fractured right hand).	ANDREW	MACDONALD	PHILADELPHIA	FLYERS	7	TRUE	fractured right hand	TRUE	1346	0	3	26	2015	4	11	2015	16	hand	arm/hand
"12397"	Mar 15, 2016	Missed 1 game (lower body injury).	ANDREW	MACDONALD	PHILADELPHIA	FLYERS	1	TRUE	lower body injury	FALSE	1347	0	3	12	2016	3	15	2016	3	lower body	lower body
"15341"	Nov 17, 2016	Missed 6 games (lower body injury).	ANDREW	MACDONALD	PHILADELPHIA	FLYERS	6	TRUE	lower body injury	FALSE	1348	0	11	03	2016	11	17	2016	14	lower body	lower body
"16098"	Nov 27, 2017	Missed 15 games (lower body injury).	ANDREW	MACDONALD	PHILADELPHIA	FLYERS	15	TRUE	lower body injury	FALSE	1349	0	10	24	2017	11	27	2017	34	lower body	lower body
"2373"	Dec 03, 2011	Missed 24 games (undisclosed).	BRANDON	MANNING	PHILADELPHIA	FLYERS	24	TRUE	undisclosed	FALSE	1350	0	10	05	2011	12	03	2011	59	undisclosed	undisclosed
"2327"	Dec 02, 2016	Missed 3 games (concussion).	BRANDON	MANNING	PHILADELPHIA	FLYERS	3	TRUE	concussion	FALSE	1351	0	11	27	2016	12	02	2016	5	concussion	concussion
"12686"	Mar 19, 2017	Missed 3 games (upper body injury).	BRANDON	MANNING	PHILADELPHIA	FLYERS	3	TRUE	upper body injury	FALSE	1352	0	3	13	2017	3	19	2017	6	upper body	upper body
"709"	Apr 08, 2017	Missed 1 game (upper body injury).	BRANDON	MANNING	PHILADELPHIA	FLYERS	1	TRUE	upper body injury	FALSE	1353	0	4	04	2017	4	08	2017	4	upper body	upper body
"4292"	Dec 29, 2017	Missed 10 games (undisclosed).	BRANDON	MANNING	PHILADELPHIA	FLYERS	10	TRUE	undisclosed	FALSE	1354	0	12	06	2017	12	29	2017	23	undisclosed	undisclosed
"11398"	Mar 02, 2016	Missed 1 game (groin).	PETR	MRAZEK	PHILADELPHIA	FLYERS	1	TRUE	groin	FALSE	1355	0	2	29	2016	3	02	2016	2	groin	lower body
"12890"	Mar 22, 2016	Missed 2 games (illness).	PETR	MRAZEK	PHILADELPHIA	FLYERS	2	TRUE	illness	FALSE	1356	0	3	17	2016	3	22	2016	5	cold/virus	illness
"8356"	Jan 18, 2007	Missed 6 games (upper body injury).	JOHNNY	ODUYA	PHILADELPHIA	FLYERS	6	TRUE	upper body injury	FALSE	1357	0	1	05	2007	1	18	2007	13	upper body	upper body
"2488"	Dec 05, 2009	Missed 15 games (groin).	JOHNNY	ODUYA	PHILADELPHIA	FLYERS	15	TRUE	groin	FALSE	1358	0	10	31	2009	12	05	2009	35	groin	lower body
"6670"	Feb 27, 2014	Missed 2 games (lower body injury).	JOHNNY	ODUYA	PHILADELPHIA	FLYERS	2	TRUE	lower body injury	FALSE	1359	0	2	05	2014	2	27	2014	22	lower body	lower body
"673"	Apr 08, 2014	Missed 3 games (lower body injury).	JOHNNY	ODUYA	PHILADELPHIA	FLYERS	3	TRUE	lower body injury	FALSE	1360	0	4	03	2014	4	08	2014	5	lower body	lower body
"12168"	Mar 12, 2015	Missed 6 games (upper body injury).	JOHNNY	ODUYA	PHILADELPHIA	FLYERS	6	TRUE	upper body injury	FALSE	1361	0	2	24	2015	3	12	2015	16	upper body	upper body
"2972"	Dec 11, 2016	Missed 10 games (lower body injury).	JOHNNY	ODUYA	PHILADELPHIA	FLYERS	10	TRUE	lower body injury	FALSE	1362	0	11	20	2016	12	11	2016	21	lower body	lower body
"6515"	Feb 26, 2017	Missed 15 games (ankle injury).	JOHNNY	ODUYA	PHILADELPHIA	FLYERS	15	TRUE	ankle injury	FALSE	1363	0	1	19	2017	2	26	2017	38	ankle	foot
"11896"	Mar 08, 2017	Missed 2 games (ankle injury).	JOHNNY	ODUYA	PHILADELPHIA	FLYERS	2	TRUE	ankle injury	FALSE	1364	0	3	03	2017	3	08	2017	5	ankle	foot
"17467"	Oct 14, 2017	Missed 3 games (lower body injury).	JOHNNY	ODUYA	PHILADELPHIA	FLYERS	3	TRUE	lower body injury	FALSE	1365	0	10	07	2017	10	14	2017	7	lower body	lower body
"8426"	Jan 18, 2018	Missed 2 games (undisclosed).	JOHNNY	ODUYA	PHILADELPHIA	FLYERS	2	TRUE	undisclosed	FALSE	1366	0	1	09	2018	1	18	2018	9	undisclosed	undisclosed
"4539"	Feb 01, 2018	Missed 4 games (lower body injury).	JOHNNY	ODUYA	PHILADELPHIA	FLYERS	4	TRUE	lower body injury	FALSE	1367	0	1	22	2018	2	01	2018	10	lower body	lower body
"15275"	Nov 16, 2017	Missed 9 games (upper body injury).	NOLAN	PATRICK	PHILADELPHIA	FLYERS	9	TRUE	upper body injury	FALSE	1368	0	10	26	2017	11	16	2017	21	upper body	upper body
"15149"	Nov 15, 2013	Missed 2 games (flu).	MICHAEL	RAFFL	PHILADELPHIA	FLYERS	2	TRUE	flu	FALSE	1369	0	11	12	2013	11	15	2013	3	cold/virus	illness
"7391"	Jan 07, 2014	Missed 1 game (concussion).	MICHAEL	RAFFL	PHILADELPHIA	FLYERS	1	TRUE	concussion	FALSE	1370	0	1	03	2014	1	07	2014	4	concussion	concussion
"15992"	Nov 26, 2014	Missed 8 games (lower body injury).	MICHAEL	RAFFL	PHILADELPHIA	FLYERS	8	TRUE	lower body injury	FALSE	1371	0	11	05	2014	11	26	2014	21	lower body	lower body
"5584"	Feb 15, 2015	Missed 7 games (pneumonia).	MICHAEL	RAFFL	PHILADELPHIA	FLYERS	7	TRUE	pneumonia	FALSE	1372	0	1	27	2015	2	15	2015	19	cold/virus	illness
"14324"	Nov 03, 2016	Missed 8 games (abdominal injury).	MICHAEL	RAFFL	PHILADELPHIA	FLYERS	8	TRUE	abdominal injury	FALSE	1373	0	10	19	2016	11	03	2016	15	abdominal	mid body
"4364"	Dec 30, 2016	Missed 1 game (lower body injury).	MICHAEL	RAFFL	PHILADELPHIA	FLYERS	1	TRUE	lower body injury	FALSE	1374	0	12	27	2016	12	30	2016	3	lower body	lower body
"884"	Apr 09, 2017	Missed the last 20 regular season games (lower body injury).	MICHAEL	RAFFL	PHILADELPHIA	FLYERS	20	TRUE	lower body injury	TRUE	1375	0	3	02	2017	4	09	2017	38	lower body	lower body
"14701"	Nov 09, 2011	Missed 3 games (upper body injury).	MATT	READ	PHILADELPHIA	FLYERS	3	TRUE	upper body injury	FALSE	1376	0	11	02	2011	11	09	2011	7	upper body	upper body
"11792"	Mar 07, 2013	Missed 6 games (torn ribcage muscle).	MATT	READ	PHILADELPHIA	FLYERS	6	TRUE	torn ribcage muscle	FALSE	1377	0	2	21	2013	3	07	2013	14	muscle	other
"16226"	Nov 29, 2013	Missed 1 game (lower body injury).	MATT	READ	PHILADELPHIA	FLYERS	1	TRUE	lower body injury	FALSE	1378	0	11	27	2013	11	29	2013	2	lower body	lower body
"8019"	Jan 14, 2014	Missed 6 games (concussion).	MATT	READ	PHILADELPHIA	FLYERS	6	TRUE	concussion	FALSE	1379	0	1	02	2014	1	14	2014	12	concussion	concussion
"6935"	Jan 01, 2017	Missed 11 games (oblique).	MATT	READ	PHILADELPHIA	FLYERS	11	TRUE	oblique	FALSE	1381	0	12	05	2016	1	01	2017	27	abdominal	mid body
"8666"	Jan 21, 2017	Missed 2 games (lower body injury).	MATT	READ	PHILADELPHIA	FLYERS	2	TRUE	lower body injury	FALSE	1382	0	1	14	2017	1	21	2017	7	lower body	lower body
"896"	Apr 09, 2017	Missed the last 5 regular season games (upper body injury).	MATT	READ	PHILADELPHIA	FLYERS	5	TRUE	upper body injury	TRUE	1383	0	3	31	2017	4	09	2017	9	upper body	upper body
"8988"	Jan 26, 2010	Missed 1 game (upper body injury).	JAKUB	VORACEK	PHILADELPHIA	FLYERS	1	TRUE	upper body injury	FALSE	1384	0	1	22	2010	1	26	2010	4	upper body	upper body
"5635"	Feb 16, 2012	Missed 1 game (upper body injury).	JAKUB	VORACEK	PHILADELPHIA	FLYERS	1	TRUE	upper body injury	FALSE	1385	0	2	12	2012	2	16	2012	4	upper body	upper body
"12215"	Mar 13, 2012	Missed 3 games (head injury).	JAKUB	VORACEK	PHILADELPHIA	FLYERS	3	TRUE	head injury	FALSE	1386	0	3	08	2012	3	13	2012	5	head	head/neck/face
"12674"	Mar 19, 2016	Missed 9 games (lower body injury).	JAKUB	VORACEK	PHILADELPHIA	FLYERS	9	TRUE	lower body injury	FALSE	1387	0	2	26	2016	3	19	2016	22	lower body	lower body
"12177"	Mar 12, 2016	Missed 11 games (upper body injury).	JORDAN	WEAL	PHILADELPHIA	FLYERS	11	TRUE	upper body injury	FALSE	1388	0	2	16	2016	3	12	2016	25	upper body	upper body
"6395"	Feb 25, 2017	Missed 2 games (upper body injury).	JORDAN	WEAL	PHILADELPHIA	FLYERS	2	TRUE	upper body injury	FALSE	1389	0	2	17	2017	2	25	2017	8	upper body	upper body
"12478"	Mar 16, 2017	Missed 1 game (lower body injury).	JORDAN	WEAL	PHILADELPHIA	FLYERS	1	TRUE	lower body injury	FALSE	1390	0	3	15	2017	3	16	2017	1	lower body	lower body
"706"	Apr 08, 2017	Missed 1 game (flu).	JORDAN	WEAL	PHILADELPHIA	FLYERS	1	TRUE	flu	FALSE	1391	0	4	04	2017	4	08	2017	4	cold/virus	illness
"18126"	Oct 24, 2017	Missed 2 games (upper body injury).	JORDAN	WEAL	PHILADELPHIA	FLYERS	2	TRUE	upper body injury	FALSE	1392	0	10	19	2017	10	24	2017	5	upper body	upper body
"15657"	Nov 21, 2017	Missed 1 game (upper body injury).	JORDAN	WEAL	PHILADELPHIA	FLYERS	1	TRUE	upper body injury	FALSE	1393	0	11	18	2017	11	21	2017	3	upper body	upper body
"5846"	Feb 19, 2012	Missed 5 games (foot injury).	DALE	WEISE	PHILADELPHIA	FLYERS	5	TRUE	foot injury	FALSE	1394	0	2	09	2012	2	19	2012	10	foot	foot
"482"	Apr 06, 2013	Missed 5 games (shoulder injury).	DALE	WEISE	PHILADELPHIA	FLYERS	5	TRUE	shoulder injury	FALSE	1395	0	3	26	2013	4	06	2013	11	shoulder	upper body
"15457"	Nov 19, 2013	Missed 10 games (leg injury).	DALE	WEISE	PHILADELPHIA	FLYERS	10	TRUE	leg injury	FALSE	1396	0	10	25	2013	11	19	2013	25	leg	leg
"769"	Apr 09, 2014	Missed 6 games (upper body injury).	DALE	WEISE	PHILADELPHIA	FLYERS	6	TRUE	upper body injury	FALSE	1397	0	3	25	2014	4	09	2014	15	upper body	upper body
"14067"	May 29, 2014	Missed the last playoff game (head injury).	DALE	WEISE	PHILADELPHIA	FLYERS	0	TRUE	head injury	TRUE	1398	0	5	29	2014	5	29	2014	0	head	head/neck/face
"8203"	Jan 16, 2016	Missed 4 games (upper body injury).	DALE	WEISE	PHILADELPHIA	FLYERS	4	TRUE	upper body injury	FALSE	1399	0	1	02	2016	1	16	2016	14	upper body	upper body
"6272"	Feb 24, 2016	Missed 1 game (illness).	DALE	WEISE	PHILADELPHIA	FLYERS	1	TRUE	illness	FALSE	1400	0	2	22	2016	2	24	2016	2	cold/virus	illness
"12449"	Mar 16, 2014	Missed 1 game (lower body injury).	CODY	EAKIN	VEGAS	GOLDENKNIGHTS	1	TRUE	lower body injury	FALSE	1401	0	3	14	2014	3	16	2014	2	lower body	lower body
"15016"	Nov 13, 2014	Missed 3 games (lower body injury).	CODY	EAKIN	VEGAS	GOLDENKNIGHTS	3	TRUE	lower body injury	FALSE	1402	0	11	06	2014	11	13	2014	7	lower body	lower body
"15340"	Nov 17, 2016	Missed 17 games (knee injury).	CODY	EAKIN	VEGAS	GOLDENKNIGHTS	17	TRUE	knee injury	FALSE	1403	0	10	11	2016	11	17	2016	37	knee	leg
"8424"	Jan 18, 2018	Missed 1 game (undisclosed).	CODY	EAKIN	VEGAS	GOLDENKNIGHTS	1	TRUE	undisclosed	FALSE	1404	0	1	16	2018	1	18	2018	2	undisclosed	undisclosed
"2870"	Dec 10, 2011	Missed 2 games (lower body injury).	DERYK	ENGELLAND	VEGAS	GOLDENKNIGHTS	2	TRUE	lower body injury	FALSE	1405	0	12	05	2011	12	10	2011	5	lower body	lower body
"12066"	Mar 11, 2012	Missed 3 games (lower body injury).	DERYK	ENGELLAND	VEGAS	GOLDENKNIGHTS	3	TRUE	lower body injury	FALSE	1406	0	3	05	2012	3	11	2012	6	lower body	lower body
"17869"	Oct 21, 2014	Missed 3 games (lower body injury).	DERYK	ENGELLAND	VEGAS	GOLDENKNIGHTS	3	TRUE	lower body injury	FALSE	1407	0	10	15	2014	10	21	2014	6	lower body	lower body
"16238"	Nov 29, 2014	Missed 1 game (illness).	DERYK	ENGELLAND	VEGAS	GOLDENKNIGHTS	1	TRUE	illness	FALSE	1408	0	11	26	2014	11	29	2014	3	cold/virus	illness
"12087"	Mar 11, 2016	Missed 1 game (lower body injury).	DERYK	ENGELLAND	VEGAS	GOLDENKNIGHTS	1	TRUE	lower body injury	FALSE	1409	0	3	09	2016	3	11	2016	2	lower body	lower body
"2418"	Dec 03, 2017	Missed 1 game (upper body injury).	DERYK	ENGELLAND	VEGAS	GOLDENKNIGHTS	1	TRUE	upper body injury	FALSE	1410	0	12	01	2017	12	03	2017	2	upper body	upper body
"2853"	Dec 10, 2005	Missed 1 game (stomach virus).	MARC-ANDRE	FLEURY	VEGAS	GOLDENKNIGHTS	1	TRUE	stomach virus	FALSE	1411	0	12	07	2005	12	10	2005	3	cold/virus	illness
"3462"	Dec 18, 2008	Missed 12 games (lower body injury).	MARC-ANDRE	FLEURY	VEGAS	GOLDENKNIGHTS	12	TRUE	lower body injury	FALSE	1412	0	11	17	2008	12	18	2008	31	lower body	lower body
"8828"	Jan 24, 2010	Missed 3 games (broken finger).	MARC-ANDRE	FLEURY	VEGAS	GOLDENKNIGHTS	3	TRUE	broken finger	FALSE	1413	0	1	16	2010	1	24	2010	8	finger	arm/hand
"13456"	Mar 30, 2013	Missed 1 game (undisclosed).	MARC-ANDRE	FLEURY	VEGAS	GOLDENKNIGHTS	1	TRUE	undisclosed	FALSE	1414	0	3	28	2013	3	30	2013	2	undisclosed	undisclosed
"7012"	Jan 02, 2016	Missed 8 games (concussion).	MARC-ANDRE	FLEURY	VEGAS	GOLDENKNIGHTS	8	TRUE	concussion	FALSE	1416	0	12	15	2015	1	02	2016	18	concussion	concussion
"6002"	Feb 21, 2016	Missed 1 game (illness).	MARC-ANDRE	FLEURY	VEGAS	GOLDENKNIGHTS	1	TRUE	illness	FALSE	1417	0	2	20	2016	2	21	2016	1	cold/virus	illness
"13634"	May 02, 2016	Missed the last 5 regular season and first 7 playoff games (concussion).	MARC-ANDRE	FLEURY	VEGAS	GOLDENKNIGHTS	12	TRUE	concussion	TRUE	1418	0	4	02	2016	5	02	2016	30	concussion	concussion
"2908"	Dec 10, 2017	Missed 25 games (concussion).	MARC-ANDRE	FLEURY	VEGAS	GOLDENKNIGHTS	25	TRUE	concussion	FALSE	1419	0	10	15	2017	12	10	2017	56	concussion	concussion
"14147"	Nov 01, 2014	Missed 2 games (head injury).	ERIK	HAULA	VEGAS	GOLDENKNIGHTS	2	TRUE	head injury	FALSE	1420	0	10	28	2014	11	01	2014	4	head	head/neck/face
"15404"	Nov 18, 2015	Missed 1 game (illness).	ERIK	HAULA	VEGAS	GOLDENKNIGHTS	1	TRUE	illness	FALSE	1421	0	11	17	2015	11	18	2015	1	cold/virus	illness
"7221"	Jan 05, 2016	Missed 1 game (undisclosed).	ERIK	HAULA	VEGAS	GOLDENKNIGHTS	1	TRUE	undisclosed	FALSE	1422	0	1	03	2016	1	05	2016	2	undisclosed	undisclosed
