"Date"	"Injury"	"Firstname"	"Lastname"	"City"	"TeamName"	"year"	"month"	"day"	"games.injured"	"MissedGamesListing"	"InjuryType"	"SeasonEnding"	"Index"	"delete.duplicate"	"injstart.month"	"injstart.day"	"injstart.year"	"injend.month"	"injend.day"	"injend.year"	"DaysMissed"	"InjuryStartDate"	"InjuryEndDate"	"GeneralInjury"	"ReducedInjuryTypes"	"FirstLast"	"PreviouslyInjured"	"HealthyDuration"	"InjuryIndicator"	"InjuryStateDate"	"YearsSince2000"
"506"	Apr 17, 2008	Missed 15 games (right quad tendon laceration).	COREY	PERRY	ANAHEIM	DUCKS	2008	4	17	15	TRUE	right quad tendon laceration	FALSE	1735	0	3	07	2008	4	17	2008	3542400	1204891200	1208433600	leg	leg	COREY PERRY	1	1425	1	1204891200	8.18630136986301
"506.1"	Apr 17, 2008	Missed 15 games (right quad tendon laceration).	COREY	PERRY	ANAHEIM	DUCKS	2008	4	17	15	TRUE	right quad tendon laceration	FALSE	1736	0	3	07	2008	4	17	2008	3542400	1204891200	1208433600	NA	NA	COREY PERRY	1	1425	2	1208433600	8.2986301369863
"2762"	Mar 16, 2012	Missed 2 games (right shoulder injury).	COREY	PERRY	ANAHEIM	DUCKS	2012	3	16	2	TRUE	right shoulder injury	FALSE	1737	0	3	12	2012	3	16	2012	345600	1331553600	1331899200	upper body	upper body	COREY PERRY	1	964	1	1331553600	12.2027397260274
"2762.1"	Mar 16, 2012	Missed 2 games (right shoulder injury).	COREY	PERRY	ANAHEIM	DUCKS	2012	3	16	2	TRUE	right shoulder injury	FALSE	1738	0	3	12	2012	3	16	2012	345600	1331553600	1331899200	NA	NA	COREY PERRY	1	964	2	1331899200	12.213698630137
"3545"	Nov 16, 2014	Missed 5 games (flu).	COREY	PERRY	ANAHEIM	DUCKS	2014	11	16	5	TRUE	flu	FALSE	1739	0	11	05	2014	11	16	2014	950400	1415188800	1416139200	illness	illness	COREY PERRY	1	21	1	1415188800	14.8547945205479
"3545.1"	Nov 16, 2014	Missed 5 games (flu).	COREY	PERRY	ANAHEIM	DUCKS	2014	11	16	5	TRUE	flu	FALSE	1740	0	11	05	2014	11	16	2014	950400	1415188800	1416139200	NA	NA	COREY PERRY	1	21	2	1416139200	14.8849315068493
"1267"	Dec 31, 2014	Missed 10 games (knee injury).	COREY	PERRY	ANAHEIM	DUCKS	2014	12	31	10	TRUE	knee injury	FALSE	1741	0	12	07	2014	12	31	2014	2073600	1417953600	1420027200	leg	leg	COREY PERRY	1	1078	1	1417953600	14.9424657534247
"1267.1"	Dec 31, 2014	Missed 10 games (knee injury).	COREY	PERRY	ANAHEIM	DUCKS	2014	12	31	10	TRUE	knee injury	FALSE	1742	0	12	07	2014	12	31	2014	2073600	1417953600	1420027200	NA	NA	COREY PERRY	1	1078	2	1420027200	15.0082191780822
"1935"	Jan 06, 2018	Missed 11 games (right leg injury).	COREY	PERRY	ANAHEIM	DUCKS	2018	1	06	11	TRUE	right leg injury	FALSE	1743	0	12	13	2017	1	06	2018	2073600	1513166400	1515240000	leg	leg	COREY PERRY	1	NA	1	1513166400	17.9616438356164
"1935.1"	Jan 06, 2018	Missed 11 games (right leg injury).	COREY	PERRY	ANAHEIM	DUCKS	2018	1	06	11	TRUE	right leg injury	FALSE	1744	0	12	13	2017	1	06	2018	2073600	1513166400	1515240000	NA	NA	COREY PERRY	1	NA	2	1515240000	18.027397260274
"419"	Apr 13, 2013	Missed 1 game (flu).	CORY	SCHNEIDER	NEW JERSEY	DEVILS	2013	4	13	1	TRUE	flu	FALSE	1745	0	4	10	2013	4	13	2013	259200	1365595200	1365854400	illness	illness	CORY SCHNEIDER	0	12	1	1365595200	13.2821917808219
"419.1"	Apr 13, 2013	Missed 1 game (flu).	CORY	SCHNEIDER	NEW JERSEY	DEVILS	2013	4	13	1	TRUE	flu	FALSE	1746	0	4	10	2013	4	13	2013	259200	1365595200	1365854400	NA	NA	CORY SCHNEIDER	0	12	2	1365854400	13.2904109589041
"3123"	May 05, 2013	Missed 4 games (lower body injury).	CORY	SCHNEIDER	NEW JERSEY	DEVILS	2013	5	05	4	TRUE	lower body injury	FALSE	1747	0	4	25	2013	5	05	2013	864000	1366891200	1367755200	lower body	lower body	CORY SCHNEIDER	1	174	1	1366891200	13.3232876712329
"3123.1"	May 05, 2013	Missed 4 games (lower body injury).	CORY	SCHNEIDER	NEW JERSEY	DEVILS	2013	5	05	4	TRUE	lower body injury	FALSE	1748	0	4	25	2013	5	05	2013	864000	1366891200	1367755200	NA	NA	CORY SCHNEIDER	1	174	2	1367755200	13.3506849315068
"3286"	Nov 03, 2013	Missed 3 games (lower body injury).	CORY	SCHNEIDER	NEW JERSEY	DEVILS	2013	11	03	3	TRUE	lower body injury	FALSE	1749	0	10	26	2013	11	03	2013	691200	1382788800	1383480000	lower body	lower body	CORY SCHNEIDER	1	853	1	1382788800	13.827397260274
"3286.1"	Nov 03, 2013	Missed 3 games (lower body injury).	CORY	SCHNEIDER	NEW JERSEY	DEVILS	2013	11	03	3	TRUE	lower body injury	FALSE	1750	0	10	26	2013	11	03	2013	691200	1382788800	1383480000	NA	NA	CORY SCHNEIDER	1	853	2	1383480000	13.8493150684932
"3075"	Mar 30, 2016	Missed 11 games (leg injury).	CORY	SCHNEIDER	NEW JERSEY	DEVILS	2016	3	30	11	TRUE	leg injury	FALSE	1751	0	3	05	2016	3	30	2016	2160000	1457179200	1459339200	leg	leg	CORY SCHNEIDER	1	569	1	1457179200	16.186301369863
"3075.1"	Mar 30, 2016	Missed 11 games (leg injury).	CORY	SCHNEIDER	NEW JERSEY	DEVILS	2016	3	30	11	TRUE	leg injury	FALSE	1752	0	3	05	2016	3	30	2016	2160000	1457179200	1459339200	NA	NA	CORY SCHNEIDER	1	569	2	1459339200	16.2547945205479
"4075"	Oct 28, 2017	Missed 2 games (lower body injury).	CORY	SCHNEIDER	NEW JERSEY	DEVILS	2017	10	28	2	TRUE	lower body injury	FALSE	1753	0	10	20	2017	10	28	2017	691200	1508500800	1509192000	lower body	lower body	CORY SCHNEIDER	1	80	1	1508500800	17.813698630137
"4075.1"	Oct 28, 2017	Missed 2 games (lower body injury).	CORY	SCHNEIDER	NEW JERSEY	DEVILS	2017	10	28	2	TRUE	lower body injury	FALSE	1754	0	10	20	2017	10	28	2017	691200	1508500800	1509192000	NA	NA	CORY SCHNEIDER	1	80	2	1509192000	17.8356164383562
"2158"	Jan 17, 2018	Missed 1 game (illness).	CORY	SCHNEIDER	NEW JERSEY	DEVILS	2018	1	17	1	TRUE	illness	FALSE	1755	0	1	16	2018	1	17	2018	86400	1516104000	1516190400	illness	illness	CORY SCHNEIDER	1	2	1	1516104000	18.0547945205479
"2158.1"	Jan 17, 2018	Missed 1 game (illness).	CORY	SCHNEIDER	NEW JERSEY	DEVILS	2018	1	17	1	TRUE	illness	FALSE	1756	0	1	16	2018	1	17	2018	86400	1516104000	1516190400	NA	NA	CORY SCHNEIDER	1	2	2	1516190400	18.0575342465753
"2266"	Jan 22, 2018	Missed 1 game (illness).	CORY	SCHNEIDER	NEW JERSEY	DEVILS	2018	1	22	1	TRUE	illness	FALSE	1757	0	1	19	2018	1	22	2018	259200	1516363200	1516622400	illness	illness	CORY SCHNEIDER	1	3	1	1516363200	18.0630136986301
"2266.1"	Jan 22, 2018	Missed 1 game (illness).	CORY	SCHNEIDER	NEW JERSEY	DEVILS	2018	1	22	1	TRUE	illness	FALSE	1758	0	1	19	2018	1	22	2018	259200	1516363200	1516622400	NA	NA	CORY SCHNEIDER	1	3	2	1516622400	18.0712328767123
"2472"	Mar 01, 2018	Missed 16 games (groin).	CORY	SCHNEIDER	NEW JERSEY	DEVILS	2018	3	01	16	TRUE	groin	FALSE	1759	0	1	25	2018	3	01	2018	3024000	1516881600	1519905600	lower body	lower body	CORY SCHNEIDER	1	NA	1	1516881600	18.0794520547945
"2472.1"	Mar 01, 2018	Missed 16 games (groin).	CORY	SCHNEIDER	NEW JERSEY	DEVILS	2018	3	01	16	TRUE	groin	FALSE	1760	0	1	25	2018	3	01	2018	3024000	1516881600	1519905600	NA	NA	CORY SCHNEIDER	1	NA	2	1519905600	18.1753424657534
"862"	Dec 11, 2009	Missed 4 games (neck injury).	CRAIG	ANDERSON	OTTAWA	SENATORS	2009	12	11	4	TRUE	neck injury	FALSE	1761	0	12	03	2009	12	11	2009	691200	1259841600	1260532800	head/neck/face	head/neck/face	CRAIG ANDERSON	0	319	1	1259841600	9.92876712328767
"862.1"	Dec 11, 2009	Missed 4 games (neck injury).	CRAIG	ANDERSON	OTTAWA	SENATORS	2009	12	11	4	TRUE	neck injury	FALSE	1762	0	12	03	2009	12	11	2009	691200	1259841600	1260532800	NA	NA	CRAIG ANDERSON	0	319	2	1260532800	9.95068493150685
"3592"	Nov 19, 2010	Missed 9 games (knee injury).	CRAIG	ANDERSON	OTTAWA	SENATORS	2010	11	19	9	TRUE	knee injury	FALSE	1763	0	10	26	2010	11	19	2010	2073600	1288094400	1290168000	leg	leg	CRAIG ANDERSON	1	6	1	1288094400	10.8246575342466
"3592.1"	Nov 19, 2010	Missed 9 games (knee injury).	CRAIG	ANDERSON	OTTAWA	SENATORS	2010	11	19	9	TRUE	knee injury	FALSE	1764	0	10	26	2010	11	19	2010	2073600	1288094400	1290168000	NA	NA	CRAIG ANDERSON	1	6	2	1290168000	10.8904109589041
"728"	Dec 03, 2010	Missed 3 games (groin).	CRAIG	ANDERSON	OTTAWA	SENATORS	2010	12	03	3	TRUE	groin	FALSE	1765	0	11	25	2010	12	03	2010	691200	1290686400	1291377600	lower body	lower body	CRAIG ANDERSON	1	449	1	1290686400	10.9068493150685
"728.1"	Dec 03, 2010	Missed 3 games (groin).	CRAIG	ANDERSON	OTTAWA	SENATORS	2010	12	03	3	TRUE	groin	FALSE	1766	0	11	25	2010	12	03	2010	691200	1290686400	1291377600	NA	NA	CRAIG ANDERSON	1	449	2	1291377600	10.9287671232877
"2928"	Mar 23, 2012	Missed 12 games (finger injury).	CRAIG	ANDERSON	OTTAWA	SENATORS	2012	3	23	12	TRUE	finger injury	FALSE	1767	0	2	25	2012	3	23	2012	2332800	1330171200	1332504000	arm/hand	arm/hand	CRAIG ANDERSON	1	337	1	1330171200	12.158904109589
"2928.1"	Mar 23, 2012	Missed 12 games (finger injury).	CRAIG	ANDERSON	OTTAWA	SENATORS	2012	3	23	12	TRUE	finger injury	FALSE	1768	0	2	25	2012	3	23	2012	2332800	1330171200	1332504000	NA	NA	CRAIG ANDERSON	1	337	2	1332504000	12.2328767123288
"80"	Apr 05, 2013	Missed 18 games (sprained right ankle).	CRAIG	ANDERSON	OTTAWA	SENATORS	2013	4	05	18	TRUE	sprained right ankle	FALSE	1769	0	2	23	2013	4	05	2013	3542400	1361620800	1365163200	foot	foot	CRAIG ANDERSON	1	214	1	1361620800	13.1561643835616
"80.1"	Apr 05, 2013	Missed 18 games (sprained right ankle).	CRAIG	ANDERSON	OTTAWA	SENATORS	2013	4	05	18	TRUE	sprained right ankle	FALSE	1770	0	2	23	2013	4	05	2013	3542400	1361620800	1365163200	NA	NA	CRAIG ANDERSON	1	214	2	1365163200	13.2684931506849
"3384"	Nov 09, 2013	Missed 2 games (head injury).	CRAIG	ANDERSON	OTTAWA	SENATORS	2013	11	09	2	TRUE	head injury	FALSE	1771	0	11	05	2013	11	09	2013	345600	1383652800	1383998400	head/neck/face	head/neck/face	CRAIG ANDERSON	1	126	1	1383652800	13.8547945205479
"3384.1"	Nov 09, 2013	Missed 2 games (head injury).	CRAIG	ANDERSON	OTTAWA	SENATORS	2013	11	09	2	TRUE	head injury	FALSE	1772	0	11	05	2013	11	09	2013	345600	1383652800	1383998400	NA	NA	CRAIG ANDERSON	1	126	2	1383998400	13.8657534246575
"2949"	Mar 24, 2014	Missed 5 games (upper body injury).	CRAIG	ANDERSON	OTTAWA	SENATORS	2014	3	24	5	TRUE	upper body injury	FALSE	1773	0	3	15	2014	3	24	2014	777600	1394884800	1395662400	upper body	upper body	CRAIG ANDERSON	1	311	1	1394884800	14.2109589041096
"2949.1"	Mar 24, 2014	Missed 5 games (upper body injury).	CRAIG	ANDERSON	OTTAWA	SENATORS	2014	3	24	5	TRUE	upper body injury	FALSE	1774	0	3	15	2014	3	24	2014	777600	1394884800	1395662400	NA	NA	CRAIG ANDERSON	1	311	2	1395662400	14.2356164383562
"2465"	Mar 01, 2015	Missed 14 games (bruised hand).	CRAIG	ANDERSON	OTTAWA	SENATORS	2015	3	01	14	TRUE	bruised hand	FALSE	1775	0	1	29	2015	3	01	2015	2678400	1422532800	1425211200	arm/hand	arm/hand	CRAIG ANDERSON	1	16	1	1422532800	15.0876712328767
"2465.1"	Mar 01, 2015	Missed 14 games (bruised hand).	CRAIG	ANDERSON	OTTAWA	SENATORS	2015	3	01	14	TRUE	bruised hand	FALSE	1776	0	1	29	2015	3	01	2015	2678400	1422532800	1425211200	NA	NA	CRAIG ANDERSON	1	16	2	1425211200	15.172602739726
"3030"	Mar 28, 2015	Missed 5 games (hand injury).	CRAIG	ANDERSON	OTTAWA	SENATORS	2015	3	28	5	TRUE	hand injury	FALSE	1777	0	3	17	2015	3	28	2015	950400	1426593600	1427544000	arm/hand	arm/hand	CRAIG ANDERSON	1	340	1	1426593600	15.2164383561644
"3030.1"	Mar 28, 2015	Missed 5 games (hand injury).	CRAIG	ANDERSON	OTTAWA	SENATORS	2015	3	28	5	TRUE	hand injury	FALSE	1778	0	3	17	2015	3	28	2015	950400	1426593600	1427544000	NA	NA	CRAIG ANDERSON	1	340	2	1427544000	15.2465753424658
"2637"	Mar 10, 2016	Missed 4 games (lower body injury).	CRAIG	ANDERSON	OTTAWA	SENATORS	2016	3	10	4	TRUE	lower body injury	FALSE	1779	0	3	02	2016	3	10	2016	691200	1456920000	1457611200	lower body	lower body	CRAIG ANDERSON	1	369	1	1456920000	16.1780821917808
"2637.1"	Mar 10, 2016	Missed 4 games (lower body injury).	CRAIG	ANDERSON	OTTAWA	SENATORS	2016	3	10	4	TRUE	lower body injury	FALSE	1780	0	3	02	2016	3	10	2016	691200	1456920000	1457611200	NA	NA	CRAIG ANDERSON	1	369	2	1457611200	16.2
"2798"	Mar 17, 2017	Missed 2 games (lower body injury).	CRAIG	ANDERSON	OTTAWA	SENATORS	2017	3	17	2	TRUE	lower body injury	FALSE	1781	0	3	14	2017	3	17	2017	259200	1489492800	1489752000	lower body	lower body	CRAIG ANDERSON	1	281	1	1489492800	17.2109589041096
"2798.1"	Mar 17, 2017	Missed 2 games (lower body injury).	CRAIG	ANDERSON	OTTAWA	SENATORS	2017	3	17	2	TRUE	lower body injury	FALSE	1782	0	3	14	2017	3	17	2017	259200	1489492800	1489752000	NA	NA	CRAIG ANDERSON	1	281	2	1489752000	17.2191780821918
"1178"	Dec 27, 2017	Missed 1 game (illness).	CRAIG	ANDERSON	OTTAWA	SENATORS	2017	12	27	1	TRUE	illness	FALSE	1783	0	12	23	2017	12	27	2017	345600	1514030400	1514376000	illness	illness	CRAIG ANDERSON	1	NA	1	1514030400	17.9890410958904
"1178.1"	Dec 27, 2017	Missed 1 game (illness).	CRAIG	ANDERSON	OTTAWA	SENATORS	2017	12	27	1	TRUE	illness	FALSE	1784	0	12	23	2017	12	27	2017	345600	1514030400	1514376000	NA	NA	CRAIG ANDERSON	1	NA	2	1514376000	18
"2143"	Jan 17, 2012	Missed 1 game (flu).	CRAIG	SMITH	NASHVILLE	PREDATORS	2012	1	17	1	TRUE	flu	FALSE	1785	0	1	16	2012	1	17	2012	86400	1326715200	1326801600	illness	illness	CRAIG SMITH	0	693	1	1326715200	12.0493150684932
"2143.1"	Jan 17, 2012	Missed 1 game (flu).	CRAIG	SMITH	NASHVILLE	PREDATORS	2012	1	17	1	TRUE	flu	FALSE	1786	0	1	16	2012	1	17	2012	86400	1326715200	1326801600	NA	NA	CRAIG SMITH	0	693	2	1326801600	12.0520547945205
"925"	Dec 14, 2013	Missed 2 games (flu).	CRAIG	SMITH	NASHVILLE	PREDATORS	2013	12	14	2	TRUE	flu	FALSE	1787	0	12	10	2013	12	14	2013	345600	1386676800	1387022400	illness	illness	CRAIG SMITH	1	858	1	1386676800	13.9506849315068
"925.1"	Dec 14, 2013	Missed 2 games (flu).	CRAIG	SMITH	NASHVILLE	PREDATORS	2013	12	14	2	TRUE	flu	FALSE	1788	0	12	10	2013	12	14	2013	345600	1386676800	1387022400	NA	NA	CRAIG SMITH	1	858	2	1387022400	13.9616438356164
"620"	Apr 25, 2016	Missed the last 2 playoff games (lower body injury).	CRAIG	SMITH	NASHVILLE	PREDATORS	2016	4	25	2	TRUE	lower body injury	TRUE	1789	0	4	20	2016	4	25	2016	432000	1461153600	1461585600	lower body	lower body	CRAIG SMITH	1	4	1	1461153600	16.3123287671233
"620.1"	Apr 25, 2016	Missed the last 2 playoff games (lower body injury).	CRAIG	SMITH	NASHVILLE	PREDATORS	2016	4	25	2	TRUE	lower body injury	TRUE	1790	0	4	20	2016	4	25	2016	432000	1461153600	1461585600	NA	NA	CRAIG SMITH	1	4	2	1461585600	16.3260273972603
"3106"	May 01, 2016	Missed the last playoff game (lower body injury).	CRAIG	SMITH	NASHVILLE	PREDATORS	2016	5	01	0	TRUE	lower body injury	TRUE	1791	0	4	29	2016	5	01	2016	172800	1461931200	1462104000	lower body	lower body	CRAIG SMITH	1	174	1	1461931200	16.3369863013699
"3106.1"	May 01, 2016	Missed the last playoff game (lower body injury).	CRAIG	SMITH	NASHVILLE	PREDATORS	2016	5	01	0	TRUE	lower body injury	TRUE	1792	0	4	29	2016	5	01	2016	172800	1461931200	1462104000	NA	NA	CRAIG SMITH	1	174	2	1462104000	16.3424657534247
"4032"	Oct 26, 2016	Missed 1 game (food poisoning).	CRAIG	SMITH	NASHVILLE	PREDATORS	2016	10	26	1	TRUE	food poisoning	FALSE	1793	0	10	22	2016	10	26	2016	345600	1477137600	1477483200	illness	illness	CRAIG SMITH	1	143	1	1477137600	16.8191780821918
"4032.1"	Oct 26, 2016	Missed 1 game (food poisoning).	CRAIG	SMITH	NASHVILLE	PREDATORS	2016	10	26	1	TRUE	food poisoning	FALSE	1794	0	10	22	2016	10	26	2016	345600	1477137600	1477483200	NA	NA	CRAIG SMITH	1	143	2	1477483200	16.8301369863014
"2870"	Mar 20, 2017	Missed 1 game (undisclosed).	CRAIG	SMITH	NASHVILLE	PREDATORS	2017	3	20	1	TRUE	undisclosed	FALSE	1795	0	3	18	2017	3	20	2017	172800	1489838400	1490011200	undisclosed	undisclosed	CRAIG SMITH	1	10	1	1489838400	17.2219178082192
"2870.1"	Mar 20, 2017	Missed 1 game (undisclosed).	CRAIG	SMITH	NASHVILLE	PREDATORS	2017	3	20	1	TRUE	undisclosed	FALSE	1796	0	3	18	2017	3	20	2017	172800	1489838400	1490011200	NA	NA	CRAIG SMITH	1	10	2	1490011200	17.227397260274
"19"	Apr 01, 2017	Missed 1 game (upper body injury).	CRAIG	SMITH	NASHVILLE	PREDATORS	2017	4	01	1	TRUE	upper body injury	FALSE	1797	0	3	30	2017	4	01	2017	172800	1490875200	1491048000	upper body	upper body	CRAIG SMITH	1	19	1	1490875200	17.2547945205479
"19.1"	Apr 01, 2017	Missed 1 game (upper body injury).	CRAIG	SMITH	NASHVILLE	PREDATORS	2017	4	01	1	TRUE	upper body injury	FALSE	1798	0	3	30	2017	4	01	2017	172800	1490875200	1491048000	NA	NA	CRAIG SMITH	1	19	2	1491048000	17.2602739726027
"3142"	May 07, 2017	Missed the last 6 playoff games (lower body injury).	CRAIG	SMITH	NASHVILLE	PREDATORS	2017	5	07	6	TRUE	lower body injury	TRUE	1799	0	4	20	2017	5	07	2017	1468800	1492689600	1494158400	lower body	lower body	CRAIG SMITH	1	5	1	1492689600	17.3123287671233
"3142.1"	May 07, 2017	Missed the last 6 playoff games (lower body injury).	CRAIG	SMITH	NASHVILLE	PREDATORS	2017	5	07	6	TRUE	lower body injury	TRUE	1800	0	4	20	2017	5	07	2017	1468800	1492689600	1494158400	NA	NA	CRAIG SMITH	1	5	2	1494158400	17.358904109589
"3233"	May 29, 2017	Missed the last 6 playoff games (lower body injury).	CRAIG	SMITH	NASHVILLE	PREDATORS	2017	5	29	6	TRUE	lower body injury	TRUE	1801	0	5	12	2017	5	29	2017	1468800	1494590400	1496059200	lower body	lower body	CRAIG SMITH	1	206	1	1494590400	17.372602739726
"3233.1"	May 29, 2017	Missed the last 6 playoff games (lower body injury).	CRAIG	SMITH	NASHVILLE	PREDATORS	2017	5	29	6	TRUE	lower body injury	TRUE	1802	0	5	12	2017	5	29	2017	1468800	1494590400	1496059200	NA	NA	CRAIG SMITH	1	206	2	1496059200	17.4191780821918
"1121"	Dec 23, 2017	Missed 1 game (lower body injury).	CRAIG	SMITH	NASHVILLE	PREDATORS	2017	12	23	1	TRUE	lower body injury	FALSE	1803	0	12	21	2017	12	23	2017	172800	1513857600	1514030400	lower body	lower body	CRAIG SMITH	1	NA	1	1513857600	17.9835616438356
"1121.1"	Dec 23, 2017	Missed 1 game (lower body injury).	CRAIG	SMITH	NASHVILLE	PREDATORS	2017	12	23	1	TRUE	lower body injury	FALSE	1804	0	12	21	2017	12	23	2017	172800	1513857600	1514030400	NA	NA	CRAIG SMITH	1	NA	2	1514030400	17.9890410958904
"3688"	Nov 24, 2014	Missed 2 games (undisclosed).	CURTIS	LAZAR	CALGARY	FLAMES	2014	11	24	2	TRUE	undisclosed	FALSE	1805	0	11	20	2014	11	24	2014	4	1416484800	1416830400	undisclosed	undisclosed	CURTIS LAZAR	0	96	1	1416484800	14.8958904109589
"3688.1"	Nov 24, 2014	Missed 2 games (undisclosed).	CURTIS	LAZAR	CALGARY	FLAMES	2014	11	24	2	TRUE	undisclosed	FALSE	1806	0	11	20	2014	11	24	2014	4	1416484800	1416830400	NA	NA	CURTIS LAZAR	0	96	2	1416830400	14.9068493150685
"2508"	Mar 03, 2015	Missed 1 game (flu).	CURTIS	LAZAR	CALGARY	FLAMES	2015	3	3	1	TRUE	flu	FALSE	1807	0	2	28	2015	3	3	2015	3	1425124800	1425384000	illness	illness	CURTIS LAZAR	1	238	1	1425124800	15.1698630136986
"2508.1"	Mar 03, 2015	Missed 1 game (flu).	CURTIS	LAZAR	CALGARY	FLAMES	2015	3	3	1	TRUE	flu	FALSE	1808	0	2	28	2015	3	3	2015	3	1425124800	1425384000	NA	NA	CURTIS LAZAR	1	238	2	1425384000	15.1780821917808
"3289"	Nov 03, 2015	Missed 3 games (concussion).	CURTIS	LAZAR	CALGARY	FLAMES	2015	11	3	3	TRUE	concussion	FALSE	1809	0	10	27	2015	11	3	2015	7	1445947200	1446552000	concussion	concussion	CURTIS LAZAR	1	54	1	1445947200	15.8301369863014
"3289.1"	Nov 03, 2015	Missed 3 games (concussion).	CURTIS	LAZAR	CALGARY	FLAMES	2015	11	3	3	TRUE	concussion	FALSE	1810	0	10	27	2015	11	3	2015	7	1445947200	1446552000	NA	NA	CURTIS LAZAR	1	54	2	1446552000	15.8493150684932
"1250"	Dec 30, 2015	Missed 2 games (lower body injury).	CURTIS	LAZAR	CALGARY	FLAMES	2015	12	30	2	TRUE	lower body injury	FALSE	1811	0	12	27	2015	12	30	2015	3	1451217600	1451476800	lower body	lower body	CURTIS LAZAR	1	342	1	1451217600	15.9972602739726
"1250.1"	Dec 30, 2015	Missed 2 games (lower body injury).	CURTIS	LAZAR	CALGARY	FLAMES	2015	12	30	2	TRUE	lower body injury	FALSE	1812	0	12	27	2015	12	30	2015	3	1451217600	1451476800	NA	NA	CURTIS LAZAR	1	342	2	1451476800	16.0054794520548
"928"	Dec 14, 2016	Missed 3 games (concussion).	CURTIS	LAZAR	CALGARY	FLAMES	2016	12	14	3	TRUE	concussion	FALSE	1813	0	12	6	2016	12	14	2016	8	1481025600	1481716800	concussion	concussion	CURTIS LAZAR	1	74	1	1481025600	16.9424657534247
"928.1"	Dec 14, 2016	Missed 3 games (concussion).	CURTIS	LAZAR	CALGARY	FLAMES	2016	12	14	3	TRUE	concussion	FALSE	1814	0	12	6	2016	12	14	2016	8	1481025600	1481716800	NA	NA	CURTIS LAZAR	1	74	2	1481716800	16.9643835616438
"2855"	Mar 19, 2017	Missed 9 games (upper body injury).	CURTIS	LAZAR	CALGARY	FLAMES	2017	3	19	9	TRUE	upper body injury	FALSE	1815	0	2	26	2017	3	19	2017	21	1488110400	1489924800	upper body	upper body	CURTIS LAZAR	1	NA	1	1488110400	17.1671232876712
"2855.1"	Mar 19, 2017	Missed 9 games (upper body injury).	CURTIS	LAZAR	CALGARY	FLAMES	2017	3	19	9	TRUE	upper body injury	FALSE	1816	0	2	26	2017	3	19	2017	21	1488110400	1489924800	NA	NA	CURTIS LAZAR	1	NA	2	1489924800	17.2246575342466
"1035"	Dec 19, 2013	Missed 2 games (lower body injury).	CURTIS	MCELHINNEY	TORONTO	MAPLELEAFS	2013	12	19	2	TRUE	lower body injury	FALSE	1817	0	12	14	2013	12	19	2013	432000	1387022400	1387454400	lower body	lower body	CURTIS MCELHINNEY	0	4	1	1387022400	13.9616438356164
"1035.1"	Dec 19, 2013	Missed 2 games (lower body injury).	CURTIS	MCELHINNEY	TORONTO	MAPLELEAFS	2013	12	19	2	TRUE	lower body injury	FALSE	1818	0	12	14	2013	12	19	2013	432000	1387022400	1387454400	NA	NA	CURTIS MCELHINNEY	0	4	2	1387454400	13.9753424657534
"1152"	Dec 27, 2013	Missed 1 game (back injury).	CURTIS	MCELHINNEY	TORONTO	MAPLELEAFS	2013	12	27	1	TRUE	back injury	FALSE	1819	0	12	23	2013	12	27	2013	345600	1387800000	1388145600	mid body	mid body	CURTIS MCELHINNEY	1	296	1	1387800000	13.986301369863
"1152.1"	Dec 27, 2013	Missed 1 game (back injury).	CURTIS	MCELHINNEY	TORONTO	MAPLELEAFS	2013	12	27	1	TRUE	back injury	FALSE	1820	0	12	23	2013	12	27	2013	345600	1387800000	1388145600	NA	NA	CURTIS MCELHINNEY	1	296	2	1388145600	13.9972602739726
"4028"	Oct 26, 2014	Missed 2 games (head injury).	CURTIS	MCELHINNEY	TORONTO	MAPLELEAFS	2014	10	26	2	TRUE	head injury	FALSE	1821	0	10	19	2014	10	26	2014	604800	1413720000	1414324800	head/neck/face	head/neck/face	CURTIS MCELHINNEY	1	435	1	1413720000	14.8082191780822
"4028.1"	Oct 26, 2014	Missed 2 games (head injury).	CURTIS	MCELHINNEY	TORONTO	MAPLELEAFS	2014	10	26	2	TRUE	head injury	FALSE	1822	0	10	19	2014	10	26	2014	604800	1413720000	1414324800	NA	NA	CURTIS MCELHINNEY	1	435	2	1414324800	14.827397260274
"1552"	Feb 15, 2016	Missed 17 games (ankle injury).	CURTIS	MCELHINNEY	TORONTO	MAPLELEAFS	2016	2	15	17	TRUE	ankle injury	FALSE	1823	0	1	04	2016	2	15	2016	3628800	1451908800	1455537600	foot	foot	CURTIS MCELHINNEY	1	33	1	1451908800	16.0191780821918
"1552.1"	Feb 15, 2016	Missed 17 games (ankle injury).	CURTIS	MCELHINNEY	TORONTO	MAPLELEAFS	2016	2	15	17	TRUE	ankle injury	FALSE	1824	0	1	04	2016	2	15	2016	3628800	1451908800	1455537600	NA	NA	CURTIS MCELHINNEY	1	33	2	1455537600	16.1342465753425
"223"	Apr 09, 2016	Missed the last 12 regular season games (knee surgery).	CURTIS	MCELHINNEY	TORONTO	MAPLELEAFS	2016	4	09	12	TRUE	knee surgery	TRUE	1825	0	3	19	2016	4	09	2016	1814400	1458388800	1460203200	leg	leg	CURTIS MCELHINNEY	1	629	1	1458388800	16.2246575342466
