"Date"	"Injury"	"Firstname"	"Lastname"	"City"	"TeamName"	"games.injured"	"MissedGamesListing"	"InjuryType"	"SeasonEnding"	"Index"	"delete.duplicate"	"injstart.month"	"injstart.day"	"injstart.year"	"injend.month"	"injend.day"	"injend.year"	"DaysMissed"	"InjuryStartDate"	"InjuryEndDate"	"GeneralInjury"	"ReducedInjuryTypes"	"FirstLast"	"PreviouslyInjured"	"HealthyDuration"
"6765"	Feb 28, 2011	Missed 2 games (illness).	KYLE	BRODZIAK	ST. LOUIS	BLUES	2	TRUE	illness	FALSE	361	0	2	24	2011	2	28	2011	4	1298548800	1298894400	cold/virus	illness	KYLE BRODZIAK	1	1140
"1496"	Apr 17, 2014	Missed 1 game (undisclosed).	KYLE	BRODZIAK	ST. LOUIS	BLUES	1	TRUE	undisclosed	FALSE	362	0	4	13	2014	4	17	2014	4	1397390400	1397736000	undisclosed	undisclosed	KYLE BRODZIAK	1	341
"144"	Apr 02, 2015	Missed 3 games (upper body injury).	KYLE	BRODZIAK	ST. LOUIS	BLUES	3	TRUE	upper body injury	FALSE	363	0	3	24	2015	4	02	2015	9	1427198400	1427976000	upper body	upper body	KYLE BRODZIAK	1	260
"4267"	Dec 29, 2015	Missed 5 games (undisclosed).	KYLE	BRODZIAK	ST. LOUIS	BLUES	5	TRUE	undisclosed	FALSE	364	0	12	18	2015	12	29	2015	11	1450440000	1451390400	undisclosed	undisclosed	KYLE BRODZIAK	1	294
"17812"	Oct 20, 2016	Missed 1 game (upper body injury).	KYLE	BRODZIAK	ST. LOUIS	BLUES	1	TRUE	upper body injury	FALSE	365	0	10	18	2016	10	20	2016	2	1476792000	1476964800	upper body	upper body	KYLE BRODZIAK	1	98
"5740"	Feb 17, 2017	Missed 10 games (right foot injury).	KYLE	BRODZIAK	ST. LOUIS	BLUES	10	TRUE	right foot injury	FALSE	366	0	1	26	2017	2	17	2017	22	1485432000	1487332800	foot	foot	KYLE BRODZIAK	1	302
"3443"	Dec 17, 2017	Missed 1 game (undisclosed).	KYLE	BRODZIAK	ST. LOUIS	BLUES	1	TRUE	undisclosed	FALSE	367	0	12	16	2017	12	17	2017	1	1513425600	1513512000	undisclosed	undisclosed	KYLE BRODZIAK	1	NA
"7523"	Jan 08, 2018	Missed 4 games (illness).	VINCE	DUNN	ST. LOUIS	BLUES	4	TRUE	illness	FALSE	368	0	1	04	2018	1	08	2018	4	1515067200	1515412800	cold/virus	illness	VINCE DUNN	0	NA
"7989"	Jan 14, 2010	Missed 22 games (hyperextended elbow).	CARL	GUNNARSSON	ST. LOUIS	BLUES	22	TRUE	hyperextended elbow	FALSE	369	0	12	01	2009	1	14	2010	44	1259668800	1263470400	elbow	arm/hand	CARL GUNNARSSON	0	682
"16295"	Nov 30, 2011	Missed 1 game (hand injury).	CARL	GUNNARSSON	ST. LOUIS	BLUES	1	TRUE	hand injury	FALSE	370	0	11	27	2011	11	30	2011	3	1322395200	1322654400	hand	arm/hand	CARL GUNNARSSON	1	76
"5987"	Feb 21, 2012	Missed 3 games (ankle injury).	CARL	GUNNARSSON	ST. LOUIS	BLUES	3	TRUE	ankle injury	FALSE	371	0	2	14	2012	2	21	2012	7	1329220800	1329825600	ankle	foot	CARL GUNNARSSON	1	44
"560"	Apr 07, 2012	Missed the last 2 regular season games (separated shoulder).	CARL	GUNNARSSON	ST. LOUIS	BLUES	2	TRUE	separated shoulder	TRUE	372	0	4	05	2012	4	07	2012	2	1333627200	1333800000	shoulder	upper body	CARL GUNNARSSON	1	301
"5797"	Feb 18, 2013	Missed 8 games (hip injury).	CARL	GUNNARSSON	ST. LOUIS	BLUES	8	TRUE	hip injury	FALSE	373	0	2	02	2013	2	18	2013	16	1359806400	1361188800	hip	lower body	CARL GUNNARSSON	1	56
"1624"	Apr 20, 2013	Missed 3 games (hip injury).	CARL	GUNNARSSON	ST. LOUIS	BLUES	3	TRUE	hip injury	FALSE	374	0	4	15	2013	4	20	2013	5	1366027200	1366459200	hip	lower body	CARL GUNNARSSON	1	262
"7562"	Jan 09, 2014	Missed 1 game (upper body injury).	CARL	GUNNARSSON	ST. LOUIS	BLUES	1	TRUE	upper body injury	FALSE	375	0	1	07	2014	1	09	2014	2	1389096000	1389268800	upper body	upper body	CARL GUNNARSSON	1	273
"18368"	Oct 28, 2014	Missed 7 games (hip surgery).	CARL	GUNNARSSON	ST. LOUIS	BLUES	7	TRUE	hip surgery	FALSE	376	0	10	09	2014	10	28	2014	19	1412856000	1414497600	hip	lower body	CARL GUNNARSSON	1	41
"6989"	Jan 02, 2015	Missed 10 games (concussion).	CARL	GUNNARSSON	ST. LOUIS	BLUES	10	TRUE	concussion	FALSE	377	0	12	08	2014	1	02	2015	25	1418040000	1420200000	concussion	concussion	CARL GUNNARSSON	1	79
"13249"	Mar 27, 2015	Missed 2 games (upper body injury).	CARL	GUNNARSSON	ST. LOUIS	BLUES	2	TRUE	upper body injury	FALSE	378	0	3	22	2015	3	27	2015	5	1427025600	1427457600	upper body	upper body	CARL GUNNARSSON	1	270
"3974"	Dec 26, 2015	Missed 1 game (arm injury).	CARL	GUNNARSSON	ST. LOUIS	BLUES	1	TRUE	arm injury	FALSE	379	0	12	22	2015	12	26	2015	4	1450785600	1451131200	arm	arm/hand	CARL GUNNARSSON	1	17
"8660"	Jan 21, 2016	Missed 5 games (upper body injury).	CARL	GUNNARSSON	ST. LOUIS	BLUES	5	TRUE	upper body injury	FALSE	380	0	1	12	2016	1	21	2016	9	1452600000	1453377600	upper body	upper body	CARL GUNNARSSON	1	55
"12668"	Mar 19, 2016	Missed 1 game (lower body injury).	CARL	GUNNARSSON	ST. LOUIS	BLUES	1	TRUE	lower body injury	FALSE	381	0	3	16	2016	3	19	2016	3	1458129600	1458388800	lower body	lower body	CARL GUNNARSSON	1	7
"263"	Apr 03, 2016	Missed 3 games (lower body injury).	CARL	GUNNARSSON	ST. LOUIS	BLUES	3	TRUE	lower body injury	FALSE	382	0	3	26	2016	4	03	2016	8	1458993600	1459684800	lower body	lower body	CARL GUNNARSSON	1	16
"1686"	Apr 21, 2016	Missed the last playoff game (upper body injury).	CARL	GUNNARSSON	ST. LOUIS	BLUES	0	TRUE	upper body injury	TRUE	383	0	4	19	2016	4	21	2016	2	1461067200	1461240000	upper body	upper body	CARL GUNNARSSON	1	180
"17966"	Oct 22, 2016	Missed 2 games (upper body injury).	CARL	GUNNARSSON	ST. LOUIS	BLUES	2	TRUE	upper body injury	FALSE	384	0	10	18	2016	10	22	2016	4	1476792000	1477137600	upper body	upper body	CARL GUNNARSSON	1	50
"3432"	Dec 17, 2016	Missed 3 games (lower body injury).	CARL	GUNNARSSON	ST. LOUIS	BLUES	3	TRUE	lower body injury	FALSE	385	0	12	11	2016	12	17	2016	6	1481457600	1481976000	lower body	lower body	CARL GUNNARSSON	1	18
"8328"	Jan 17, 2017	Missed 6 games (lower body injury).	CARL	GUNNARSSON	ST. LOUIS	BLUES	6	TRUE	lower body injury	FALSE	386	0	1	04	2017	1	17	2017	13	1483531200	1484654400	lower body	lower body	CARL GUNNARSSON	1	71
"524"	Apr 06, 2017	Missed 4 games (lower body injury).	CARL	GUNNARSSON	ST. LOUIS	BLUES	4	TRUE	lower body injury	FALSE	387	0	3	29	2017	4	06	2017	8	1490788800	1491480000	lower body	lower body	CARL GUNNARSSON	1	259
"3898"	Dec 23, 2017	Missed 1 game (upper body injury).	CARL	GUNNARSSON	ST. LOUIS	BLUES	1	TRUE	upper body injury	FALSE	388	0	12	21	2017	12	23	2017	2	1513857600	1514030400	upper body	upper body	CARL GUNNARSSON	1	NA
"15174"	Nov 15, 2015	Missed 3 games (upper body injury).	CARTER	HUTTON	ST. LOUIS	BLUES	3	TRUE	upper body injury	FALSE	389	0	11	09	2015	11	15	2015	6	1447070400	1447588800	upper body	upper body	CARTER HUTTON	0	13
"2220"	Dec 01, 2015	Missed 1 game (lower body injury).	CARTER	HUTTON	ST. LOUIS	BLUES	1	TRUE	lower body injury	FALSE	390	0	11	28	2015	12	01	2015	3	1448712000	1448971200	lower body	lower body	CARTER HUTTON	1	737
"3291"	Dec 15, 2017	Missed 5 games (lower body injury).	CARTER	HUTTON	ST. LOUIS	BLUES	5	TRUE	lower body injury	FALSE	391	0	12	07	2017	12	15	2017	8	1512648000	1513339200	lower body	lower body	CARTER HUTTON	1	NA
"11829"	Mar 07, 2017	Missed 2 games (ankle injury).	DMITRIJ	JASKIN	ST. LOUIS	BLUES	2	TRUE	ankle injury	FALSE	392	0	3	03	2017	3	07	2017	4	1488542400	1488888000	ankle	foot	DMITRIJ JASKIN	0	7
"169"	Apr 02, 2017	Missed 9 games (upper body injury).	DMITRIJ	JASKIN	ST. LOUIS	BLUES	9	TRUE	upper body injury	FALSE	393	0	3	14	2017	4	02	2017	19	1489492800	1491134400	upper body	upper body	DMITRIJ JASKIN	1	257
"3358"	Dec 16, 2017	Missed 1 game (undisclosed).	DMITRIJ	JASKIN	ST. LOUIS	BLUES	1	TRUE	undisclosed	FALSE	394	0	12	15	2017	12	16	2017	1	1513339200	1513425600	undisclosed	undisclosed	DMITRIJ JASKIN	1	NA
"15634"	Nov 21, 2015	Missed 2 games (lower body injury).	COLTON	PARAYKO	ST. LOUIS	BLUES	2	TRUE	lower body injury	FALSE	395	0	11	17	2015	11	21	2015	4	1447761600	1448107200	lower body	lower body	COLTON PARAYKO	0	60
"8728"	Jan 22, 2016	Missed 1 game (illness).	COLTON	PARAYKO	ST. LOUIS	BLUES	1	TRUE	illness	FALSE	396	0	1	20	2016	1	22	2016	2	1453291200	1453464000	cold/virus	illness	COLTON PARAYKO	1	414
"12258"	Mar 13, 2017	Missed 1 game (undisclosed).	COLTON	PARAYKO	ST. LOUIS	BLUES	1	TRUE	undisclosed	FALSE	397	0	3	11	2017	3	13	2017	2	1489233600	1489406400	undisclosed	undisclosed	COLTON PARAYKO	1	NA
"14118"	Nov 01, 2008	Missed 6 games (head injury).	ALEX	PIETRANGELO	ST. LOUIS	BLUES	6	TRUE	head injury	FALSE	398	0	10	16	2008	11	01	2008	16	1224158400	1225540800	head	head/neck/face	ALEX PIETRANGELO	0	774
"3642"	Dec 20, 2010	Missed 3 games (upper body injury).	ALEX	PIETRANGELO	ST. LOUIS	BLUES	3	TRUE	upper body injury	FALSE	399	0	12	15	2010	12	20	2010	5	1292414400	1292846400	upper body	upper body	ALEX PIETRANGELO	1	344
"2271"	Dec 02, 2011	Missed 1 game (illness).	ALEX	PIETRANGELO	ST. LOUIS	BLUES	1	TRUE	illness	FALSE	400	0	11	29	2011	12	02	2011	3	1322568000	1322827200	cold/virus	illness	ALEX PIETRANGELO	1	150
"13649"	May 03, 2012	Missed the last playoff game (lower body injury).	ALEX	PIETRANGELO	ST. LOUIS	BLUES	0	TRUE	lower body injury	TRUE	401	0	4	30	2012	5	03	2012	3	1335787200	1336046400	lower body	lower body	ALEX PIETRANGELO	1	317
"12636"	Mar 19, 2013	Missed 1 game (flu).	ALEX	PIETRANGELO	ST. LOUIS	BLUES	1	TRUE	flu	FALSE	402	0	3	16	2013	3	19	2013	3	1363435200	1363694400	cold/virus	illness	ALEX PIETRANGELO	1	390
"1504"	Apr 17, 2014	Missed the last regular season game (undisclosed).	ALEX	PIETRANGELO	ST. LOUIS	BLUES	1	TRUE	undisclosed	TRUE	403	0	4	13	2014	4	17	2014	4	1397390400	1397736000	undisclosed	undisclosed	ALEX PIETRANGELO	1	662
"6697"	Feb 27, 2016	Missed 9 games (knee injury).	ALEX	PIETRANGELO	ST. LOUIS	BLUES	9	TRUE	knee injury	FALSE	404	0	2	08	2016	2	27	2016	19	1454932800	1456574400	knee	leg	ALEX PIETRANGELO	1	297
"3751"	Dec 21, 2016	Missed 1 game (illness).	ALEX	PIETRANGELO	ST. LOUIS	BLUES	1	TRUE	illness	FALSE	405	0	12	20	2016	12	21	2016	1	1482235200	1482321600	cold/virus	illness	ALEX PIETRANGELO	1	354
"3445"	Dec 17, 2017	Missed 4 games (foot injury).	ALEX	PIETRANGELO	ST. LOUIS	BLUES	4	TRUE	foot injury	FALSE	406	0	12	10	2017	12	17	2017	7	1512907200	1513512000	foot	foot	ALEX PIETRANGELO	1	NA
"15682"	Nov 22, 2011	Missed 11 games (broken left foot).	BRAYDEN	SCHENN	ST. LOUIS	BLUES	11	TRUE	broken left foot	FALSE	407	0	10	27	2011	11	22	2011	26	1319716800	1321963200	foot	foot	BRAYDEN SCHENN	0	15
"4017"	Dec 27, 2011	Missed 9 games (mild concussion).	BRAYDEN	SCHENN	ST. LOUIS	BLUES	9	TRUE	mild concussion	FALSE	408	0	12	07	2011	12	27	2011	20	1323259200	1324987200	concussion	concussion	BRAYDEN SCHENN	1	1394
"18107"	Oct 24, 2015	Missed 1 game (upper body injury).	BRAYDEN	SCHENN	ST. LOUIS	BLUES	1	TRUE	upper body injury	FALSE	409	0	10	21	2015	10	24	2015	3	1445428800	1445688000	upper body	upper body	BRAYDEN SCHENN	1	NA
"3581"	Dec 19, 2013	Missed 2 games (undisclosed).	JADEN	SCHWARTZ	ST. LOUIS	BLUES	2	TRUE	undisclosed	FALSE	410	0	12	16	2013	12	19	2013	3	1387195200	1387454400	undisclosed	undisclosed	JADEN SCHWARTZ	0	363
"7078"	Jan 03, 2015	Missed 7 games (broken right foot).	JADEN	SCHWARTZ	ST. LOUIS	BLUES	7	TRUE	broken right foot	FALSE	411	0	12	17	2014	1	03	2015	17	1418817600	1420286400	foot	foot	JADEN SCHWARTZ	1	293
"5216"	Feb 10, 2016	Missed 49 games (fractured left ankle).	JADEN	SCHWARTZ	ST. LOUIS	BLUES	49	TRUE	fractured left ankle	FALSE	412	0	10	23	2015	2	10	2016	110	1445601600	1455105600	ankle	foot	JADEN SCHWARTZ	1	244
"17814"	Oct 20, 2016	Missed 4 games (left elbow injury).	JADEN	SCHWARTZ	ST. LOUIS	BLUES	4	TRUE	left elbow injury	FALSE	413	0	10	11	2016	10	20	2016	9	1476187200	1476964800	elbow	arm/hand	JADEN SCHWARTZ	1	416
"8970"	Jan 25, 2018	Missed 20 games (right ankle injury).	JADEN	SCHWARTZ	ST. LOUIS	BLUES	20	TRUE	right ankle injury	FALSE	414	0	12	10	2017	1	25	2018	46	1512907200	1516881600	ankle	foot	JADEN SCHWARTZ	1	NA
"2999"	Dec 12, 2007	Missed 3 games (shoulder injury).	VLADIMIR	SOBOTKA	ST. LOUIS	BLUES	3	TRUE	shoulder injury	FALSE	415	0	12	06	2007	12	12	2007	6	1196942400	1197460800	shoulder	upper body	VLADIMIR SOBOTKA	0	834
"13210"	Mar 27, 2010	Missed 1 game (head injury).	VLADIMIR	SOBOTKA	ST. LOUIS	BLUES	1	TRUE	head injury	FALSE	416	0	3	25	2010	3	27	2010	2	1269518400	1269691200	head	head/neck/face	VLADIMIR SOBOTKA	1	193
"17665"	Oct 18, 2010	Missed 4 games (shoulder injury).	VLADIMIR	SOBOTKA	ST. LOUIS	BLUES	4	TRUE	shoulder injury	FALSE	417	0	10	06	2010	10	18	2010	12	1286366400	1287403200	shoulder	upper body	VLADIMIR SOBOTKA	1	134
"13368"	Mar 29, 2011	Missed 13 games (fractured foot).	VLADIMIR	SOBOTKA	ST. LOUIS	BLUES	13	TRUE	fractured foot	FALSE	418	0	3	01	2011	3	29	2011	28	1298980800	1301400000	foot	foot	VLADIMIR SOBOTKA	1	243
"2274"	Dec 02, 2011	Missed 2 games (facial injury).	VLADIMIR	SOBOTKA	ST. LOUIS	BLUES	2	TRUE	facial injury	FALSE	419	0	11	27	2011	12	02	2011	5	1322395200	1322827200	face	head/neck/face	VLADIMIR SOBOTKA	1	11
"4328"	Dec 30, 2011	Missed 7 games (left ankle injury).	VLADIMIR	SOBOTKA	ST. LOUIS	BLUES	7	TRUE	left ankle injury	FALSE	420	0	12	13	2011	12	30	2011	17	1323777600	1325246400	ankle	foot	VLADIMIR SOBOTKA	1	717
"4137"	Dec 28, 2013	Missed 5 games (upper body injury).	VLADIMIR	SOBOTKA	ST. LOUIS	BLUES	5	TRUE	upper body injury	FALSE	421	0	12	16	2013	12	28	2013	12	1387195200	1388232000	upper body	upper body	VLADIMIR SOBOTKA	1	0
"4238"	Dec 29, 2013	Missed 6 games (upper body injury).	VLADIMIR	SOBOTKA	ST. LOUIS	BLUES	6	TRUE	upper body injury	FALSE	422	0	12	28	2013	12	29	2013	1	1388232000	1388318400	upper body	upper body	VLADIMIR SOBOTKA	1	16
"8106"	Jan 15, 2014	Missed 1 game (flu).	VLADIMIR	SOBOTKA	ST. LOUIS	BLUES	1	TRUE	flu	FALSE	423	0	1	14	2014	1	15	2014	1	1389700800	1389787200	cold/virus	illness	VLADIMIR SOBOTKA	1	17
"12232"	Mar 13, 2014	Missed 12 games (left leg injury).	VLADIMIR	SOBOTKA	ST. LOUIS	BLUES	12	TRUE	left leg injury	FALSE	424	0	2	01	2014	3	13	2014	40	1391256000	1394712000	leg	leg	VLADIMIR SOBOTKA	1	29
"1500"	Apr 17, 2014	Missed the last 2 regular season games (undisclosed).	VLADIMIR	SOBOTKA	ST. LOUIS	BLUES	2	TRUE	undisclosed	TRUE	425	0	4	11	2014	4	17	2014	6	1397217600	1397736000	undisclosed	undisclosed	VLADIMIR SOBOTKA	1	1405
"6196"	Feb 23, 2018	Missed 1 game (illness).	VLADIMIR	SOBOTKA	ST. LOUIS	BLUES	1	TRUE	illness	FALSE	426	0	2	20	2018	2	23	2018	3	1519128000	1519387200	cold/virus	illness	VLADIMIR SOBOTKA	1	NA
"331"	Apr 04, 2016	Missed 7 games (upper body injury).	NIKITA	SOSHNIKOV	ST. LOUIS	BLUES	7	TRUE	upper body injury	FALSE	427	0	3	20	2016	4	04	2016	15	1458475200	1459771200	upper body	upper body	NIKITA SOSHNIKOV	0	278
"7961"	Jan 13, 2017	Missed 1 game (upper body injury).	NIKITA	SOSHNIKOV	ST. LOUIS	BLUES	1	TRUE	upper body injury	FALSE	428	0	1	07	2017	1	13	2017	6	1483790400	1484308800	upper body	upper body	NIKITA SOSHNIKOV	1	27
"5601"	Feb 15, 2017	Missed 3 games (upper body injury).	NIKITA	SOSHNIKOV	ST. LOUIS	BLUES	3	TRUE	upper body injury	FALSE	429	0	2	09	2017	2	15	2017	6	1486641600	1487160000	upper body	upper body	NIKITA SOSHNIKOV	1	35
"1778"	Apr 23, 2017	Missed the last 11 regular season and all 6 playoff games (undisclosed).	NIKITA	SOSHNIKOV	ST. LOUIS	BLUES	17	TRUE	undisclosed	TRUE	430	0	3	22	2017	4	23	2017	32	1490184000	1492948800	undisclosed	undisclosed	NIKITA SOSHNIKOV	1	233
"6307"	Feb 24, 2018	Missed 31 games (lower body injury).	NIKITA	SOSHNIKOV	ST. LOUIS	BLUES	31	TRUE	lower body injury	FALSE	431	0	12	12	2017	2	24	2018	74	1513080000	1519473600	lower body	lower body	NIKITA SOSHNIKOV	1	NA
"6949"	Jan 02, 2006	Missed 7 games (thumb injury).	ALEXANDER	STEEN	ST. LOUIS	BLUES	7	TRUE	thumb injury	FALSE	432	0	12	18	2005	1	02	2006	15	1134907200	1136203200	finger	arm/hand	ALEXANDER STEEN	0	743
"8253"	Jan 17, 2008	Missed 1 game (flu).	ALEXANDER	STEEN	ST. LOUIS	BLUES	1	TRUE	flu	FALSE	433	0	1	15	2008	1	17	2008	2	1200398400	1200571200	cold/virus	illness	ALEXANDER STEEN	1	12
"5077"	Feb 09, 2008	Missed 5 games (shoulder injury).	ALEXANDER	STEEN	ST. LOUIS	BLUES	5	TRUE	shoulder injury	FALSE	434	0	1	29	2008	2	09	2008	11	1201608000	1202558400	shoulder	upper body	ALEXANDER STEEN	1	397
"12277"	Mar 14, 2009	Missed 1 game (lower body injury).	ALEXANDER	STEEN	ST. LOUIS	BLUES	1	TRUE	lower body injury	FALSE	435	0	3	12	2009	3	14	2009	2	1236859200	1237032000	lower body	lower body	ALEXANDER STEEN	1	217
"15600"	Nov 21, 2009	Missed 14 games (broken right wrist).	ALEXANDER	STEEN	ST. LOUIS	BLUES	14	TRUE	broken right wrist	FALSE	436	0	10	17	2009	11	21	2009	35	1255780800	1258804800	wrist	arm/hand	ALEXANDER STEEN	1	474
"11"	Apr 01, 2011	Missed 10 games (ankle injury).	ALEXANDER	STEEN	ST. LOUIS	BLUES	10	TRUE	ankle injury	FALSE	437	0	3	10	2011	4	01	2011	22	1299758400	1301659200	ankle	foot	ALEXANDER STEEN	1	273
"13080"	Mar 25, 2012	Missed 39 games (concussion).	ALEXANDER	STEEN	ST. LOUIS	BLUES	39	TRUE	concussion	FALSE	438	0	12	30	2011	3	25	2012	86	1325246400	1332676800	concussion	concussion	ALEXANDER STEEN	1	340
"12299"	Mar 14, 2013	Missed 8 games (upper body injury).	ALEXANDER	STEEN	ST. LOUIS	BLUES	8	TRUE	upper body injury	FALSE	439	0	2	28	2013	3	14	2013	14	1362052800	1363262400	upper body	upper body	ALEXANDER STEEN	1	284
"8295"	Jan 17, 2014	Missed 11 games (concussion).	ALEXANDER	STEEN	ST. LOUIS	BLUES	11	TRUE	concussion	FALSE	440	0	12	23	2013	1	17	2014	25	1387800000	1389960000	concussion	concussion	ALEXANDER STEEN	1	76
"674"	Apr 08, 2014	Missed 3 games (upper body injury).	ALEXANDER	STEEN	ST. LOUIS	BLUES	3	TRUE	upper body injury	FALSE	441	0	4	03	2014	4	08	2014	5	1396526400	1396958400	upper body	upper body	ALEXANDER STEEN	1	242
"2948"	Dec 11, 2014	Missed 2 games (lower body injury).	ALEXANDER	STEEN	ST. LOUIS	BLUES	2	TRUE	lower body injury	FALSE	442	0	12	06	2014	12	11	2014	5	1417867200	1418299200	lower body	lower body	ALEXANDER STEEN	1	109
"963"	Apr 10, 2015	Missed 6 games (lower body injury).	ALEXANDER	STEEN	ST. LOUIS	BLUES	6	TRUE	lower body injury	FALSE	443	0	3	30	2015	4	10	2015	11	1427716800	1428667200	lower body	lower body	ALEXANDER STEEN	1	317
"13401"	Mar 29, 2016	Missed 15 games (upper body injury).	ALEXANDER	STEEN	ST. LOUIS	BLUES	15	TRUE	upper body injury	FALSE	444	0	2	21	2016	3	29	2016	37	1456056000	1459252800	upper body	upper body	ALEXANDER STEEN	1	233
"2233"	Dec 01, 2016	Missed 6 games (upper body injury).	ALEXANDER	STEEN	ST. LOUIS	BLUES	6	TRUE	upper body injury	FALSE	445	0	11	17	2016	12	01	2016	14	1479384000	1480593600	upper body	upper body	ALEXANDER STEEN	1	155
"13761"	May 07, 2017	Missed the last playoff game (lower body injury).	ALEXANDER	STEEN	ST. LOUIS	BLUES	0	TRUE	lower body injury	TRUE	446	0	5	05	2017	5	07	2017	2	1493985600	1494158400	lower body	lower body	ALEXANDER STEEN	1	148
"17696"	Oct 18, 2017	Missed 6 games (broken hand).	ALEXANDER	STEEN	ST. LOUIS	BLUES	6	TRUE	broken hand	FALSE	447	0	10	02	2017	10	18	2017	16	1506945600	1508328000	hand	arm/hand	ALEXANDER STEEN	1	NA
"12446"	Mar 16, 2013	Missed 10 games (concussion).	VLADIMIR	TARASENKO	ST. LOUIS	BLUES	10	TRUE	concussion	FALSE	448	0	2	22	2013	3	16	2013	22	1361534400	1363435200	concussion	concussion	VLADIMIR TARASENKO	0	310
"8792"	Jan 23, 2014	Missed 2 games (flu).	VLADIMIR	TARASENKO	ST. LOUIS	BLUES	2	TRUE	flu	FALSE	449	0	1	20	2014	1	23	2014	3	1390219200	1390478400	cold/virus	illness	VLADIMIR TARASENKO	1	14
"5020"	Feb 08, 2014	Missed 1 game (flu).	VLADIMIR	TARASENKO	ST. LOUIS	BLUES	1	TRUE	flu	FALSE	450	0	2	06	2014	2	08	2014	2	1391688000	1391860800	cold/virus	illness	VLADIMIR TARASENKO	1	36
"1499"	Apr 17, 2014	Missed the last 15 regular season games (right hand surgery).	VLADIMIR	TARASENKO	ST. LOUIS	BLUES	15	TRUE	right hand surgery	TRUE	451	0	3	16	2014	4	17	2014	32	1394971200	1397736000	hand	arm/hand	VLADIMIR TARASENKO	1	349
"962"	Apr 10, 2015	Missed 5 games (lower body injury).	VLADIMIR	TARASENKO	ST. LOUIS	BLUES	5	TRUE	lower body injury	FALSE	452	0	4	01	2015	4	10	2015	9	1427889600	1428667200	lower body	lower body	VLADIMIR TARASENKO	1	204
"14314"	Nov 03, 2015	Missed 1 game (undisclosed).	VLADIMIR	TARASENKO	ST. LOUIS	BLUES	1	TRUE	undisclosed	FALSE	453	0	10	31	2015	11	03	2015	3	1446292800	1446552000	undisclosed	undisclosed	VLADIMIR TARASENKO	1	58
"7008"	Jan 02, 2016	Missed 1 game (illness).	VLADIMIR	TARASENKO	ST. LOUIS	BLUES	1	TRUE	illness	FALSE	454	0	12	31	2015	1	02	2016	2	1451563200	1451736000	cold/virus	illness	VLADIMIR TARASENKO	1	NA
"5548"	Feb 14, 2018	Missed 2 games (undisclosed).	TAGE	THOMPSON	ST. LOUIS	BLUES	2	TRUE	undisclosed	FALSE	455	0	2	11	2018	2	14	2018	3	1518350400	1518609600	undisclosed	undisclosed	TAGE THOMPSON	0	NA
"13212"	Mar 27, 2010	Missed 4 games (flu).	CHRIS	THORBURN	ST. LOUIS	BLUES	4	TRUE	flu	FALSE	456	0	3	20	2010	3	27	2010	7	1269086400	1269691200	cold/virus	illness	CHRIS THORBURN	0	718
"13527"	Mar 31, 2012	Missed 9 games (lower body injury).	CHRIS	THORBURN	ST. LOUIS	BLUES	9	TRUE	lower body injury	FALSE	457	0	3	14	2012	3	31	2012	17	1331726400	1333195200	lower body	lower body	CHRIS THORBURN	1	558
"18216"	Oct 26, 2013	Missed 8 games (lower body injury).	CHRIS	THORBURN	ST. LOUIS	BLUES	8	TRUE	lower body injury	FALSE	458	0	10	10	2013	10	26	2013	16	1381406400	1382788800	lower body	lower body	CHRIS THORBURN	1	131
"12152"	Mar 12, 2014	Missed 3 games (facial injury).	CHRIS	THORBURN	ST. LOUIS	BLUES	3	TRUE	facial injury	FALSE	459	0	3	06	2014	3	12	2014	6	1394107200	1394625600	face	head/neck/face	CHRIS THORBURN	1	3
"1054"	Apr 11, 2014	Missed the last 14 regular season games (foot injury).	CHRIS	THORBURN	ST. LOUIS	BLUES	14	TRUE	foot injury	TRUE	460	0	3	15	2014	4	11	2014	27	1394884800	1397217600	foot	foot	CHRIS THORBURN	1	1065
"12257"	Mar 13, 2017	Missed 1 game (undisclosed).	CHRIS	THORBURN	ST. LOUIS	BLUES	1	TRUE	undisclosed	FALSE	461	0	3	11	2017	3	13	2017	2	1489233600	1489406400	undisclosed	undisclosed	CHRIS THORBURN	1	NA
"7528"	Jan 09, 2004	Missed 9 games (knee injury).	SCOTTIE	UPSHALL	ST. LOUIS	BLUES	9	TRUE	knee injury	FALSE	462	0	12	23	2003	1	09	2004	17	1072180800	1073649600	knee	leg	SCOTTIE UPSHALL	0	788
"12268"	Mar 14, 2006	Missed 3 games (hip injury).	SCOTTIE	UPSHALL	ST. LOUIS	BLUES	3	TRUE	hip injury	FALSE	463	0	3	07	2006	3	14	2006	7	1141732800	1142337600	hip	lower body	SCOTTIE UPSHALL	1	241
"14842"	Nov 11, 2006	Missed 1 game (rash).	SCOTTIE	UPSHALL	ST. LOUIS	BLUES	1	TRUE	rash	FALSE	464	0	11	10	2006	11	11	2006	1	1163160000	1163246400	cold/virus	illness	SCOTTIE UPSHALL	1	5
"8161"	Jan 16, 2007	Missed 30 games (groin).	SCOTTIE	UPSHALL	ST. LOUIS	BLUES	30	TRUE	groin	FALSE	465	0	11	16	2006	1	16	2007	61	1163678400	1168948800	groin	lower body	SCOTTIE UPSHALL	1	60
